created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,location
Wed Nov 29 12:00:44 +0000 2023,1729832763254059162,🏆 MAMA Awards — Artist of the Year Winners   2016 - #BTS  2017 - #BTS 2018 - #BTS 2019 - #BTS 2020 - #BTS 2021 - #BTS 2022 - #BTS 2023 - Hiatus https://t.co/t4JpzJHu00,233,114,5697,20718,en,973338313661861889,1729832763254059162,btschartsdailyc,https://twitter.com/btschartsdailyc/status/1729832763254059162,https://pbs.twimg.com/media/GAGZunnWcAAdLaN.jpg,🔔Turn the notifications
Tue Dec 05 12:14:34 +0000 2023,1732010572164604235,I’m dying of laughter when jungkook comes hhahahahahahah😭😭😭  BTS LIVE #BTS #Jungkook https://t.co/IJp1kHQdxR,3,6,33,134,en,1059111427372396545,1732010572164604235,tae_95TK,https://twitter.com/tae_95TK/status/1732010572164604235,https://pbs.twimg.com/ext_tw_video_thumb/1732010557060812800/pu/img/NiUDs_6XsUhIZseH.jpg,taetae heart ♡︎ᴥ︎♡︎
Wed Dec 06 01:17:37 +0000 2023,1732207635967934945,jin time  #btsfanart #bts #jin https://t.co/T7dvrXqaO8,0,0,8,19,en,1623348413889671168,1732207635967934945,kthvank,https://twitter.com/kthvank/status/1732207635967934945,https://pbs.twimg.com/media/GAoJl_xWgAAs48u.jpg,134340 ♡ only army 
Thu Nov 30 16:33:17 +0000 2023,1730263741621580108,"[UCC] He's a real man "" #BTS's #V (Kim Taehyung) joins the elite counter-terrorism unit ""Special Task Force of the Capital Defense Command"" for his military enlistment https://t.co/OiviQ1M3Q2""",323,194,2015,10211,en,21366823,1730263741621580108,allkpop,https://twitter.com/allkpop/status/1730263741621580108,,Worldwide
Mon Dec 04 18:21:52 +0000 2023,1731740617447796891,Jungkook for CDTV    4K Wallpaper [1 picture]  #Jungkook #JungKook_GOLDEN #JK #CDTV #JungkookOnCDTV #BTS #BTSWALLPAPER #btslockscreen https://t.co/CGvswSHcnV,2,25,736,3919,en,1624146500983918609,1731740617447796891,Lena7_BTS,https://twitter.com/Lena7_BTS/status/1731740617447796891,https://pbs.twimg.com/media/GAhg54TXAAAW0hy.jpg,On the street
Tue Dec 05 03:40:40 +0000 2023,1731881244827295897,#BTS : I love it and I hate it at the same time https://t.co/SQN1aYPfOo,0,1,36,100,en,1677946934198419457,1731881244827295897,raplinebase,https://twitter.com/raplinebase/status/1731881244827295897,https://pbs.twimg.com/ext_tw_video_thumb/1731881211096944640/pu/img/-_1wMONTnEbLETK5.jpg,OT7 
Wed Dec 06 04:32:13 +0000 2023,1732256606157721777,There is no other way for a person to grow and become the best version of themselves but to change. Hobi constantly evolving without losing sight of who he is at his core is the very reason why despite the turbulence of fame  he has remained the beacon of hope and anchor of #BTS. https://t.co/0drDpJ836H,0,1,28,53,en,1646766542259097602,1732256576055238771,hoseokiepedia,https://twitter.com/hoseokiepedia/status/1732256606157721777,https://pbs.twimg.com/ext_tw_video_thumb/1732255575793442816/pu/img/JR5XndLrSr5hu9K_.jpg,
Wed Dec 06 09:26:16 +0000 2023,1732330608880390269,"The track Hope World"" by j-hope has surpassed 85 million streams on Spotify. :https://t.co/GaStjppXUW  #BTS #JHOPE #제이홉 #방탄소년단제이홉 https://t.co/nxLgVVl9e0""",0,0,4,8,en,1598955471943372800,1732330608880390269,JhopePress,https://twitter.com/JhopePress/status/1732330608880390269,https://pbs.twimg.com/media/GAp5gFsbYAA1tqQ.jpg,1 Admin
Mon Dec 04 14:19:19 +0000 2023,1731679580119839181,[SCAN] BTS PERMISSION TO DANCE ON STAGE in THE US PhotoBook - LA (6) #JK #정국 #JUNGKOOK #BTS #방탄소년단 https://t.co/WiPz6MKwUL,14,1,2023,7927,en,1324060291903057920,1731679580119839181,amabile_suga,https://twitter.com/amabile_suga/status/1731679580119839181,https://pbs.twimg.com/media/GAgpY-iX0AASvKg.jpg,
Tue Dec 05 11:48:31 +0000 2023,1732004017608532252,Which metro line are you eagerly waiting for???  #NammaMetro #TechSummit #BTS https://t.co/PKtLaUxAG2,18,136,51,393,en,1505894517433835526,1732004017608532252,IndexKarnataka,https://twitter.com/IndexKarnataka/status/1732004017608532252,https://pbs.twimg.com/ext_tw_video_thumb/1732003015287287809/pu/img/fAWFpZ4hAtJJUjJI.jpg,
Thu Nov 30 10:18:46 +0000 2023,1730169493828047221,Kiss me 😂🔥🔥🔥 #TheXFiles #BTS https://t.co/7E4FBF2JAv,3,2,18,128,en,434822826,1730169493828047221,A_nv_,https://twitter.com/A_nv_/status/1730169493828047221,https://pbs.twimg.com/ext_tw_video_thumb/1730169448303058944/pu/img/MnO_Cg8BVqcxGyfG.jpg,
